company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Mercor,Excel Expert — Manufacturing,United States,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABnoaRgNQNHi5BQw5Maped,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Excel Expert — Office / Retail Management,United States,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABnoaRpmTmaAZaS2lLx4hW,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Excess & Specialty Insurance Underwriters (SME Focus),Remote,Finance,hourly,https://work.mercor.com/jobs/list_AAABnpPqCYOjaNSrBs5PI63h,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Expert Professionals - Consulting,United States,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABndlXUGdmSPsmhX5IK6Qt,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Expert Professionals - Operations,United States,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABndlXXp3YPj6RjGRJ0JFN,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Expert Professionals - Supply Chain & Manufacturing,United States,Business Operations,hourly,https://work.mercor.com/jobs/list_AAABndlXM2zmBH8DjWBC-qmV,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Expert Professionals — AI/ML,Remote,Data Analysis,full-time,https://work.mercor.com/jobs/list_AAABnfRDs7DWr11gIBdKmINR,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,FP&A / corporate finance Evaluator,Remote,Finance,hourly,https://work.mercor.com/jobs/list_AAABnp6QzhzJMwho519LMJ2v,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,"Family Medicine / Primary Care Physician (San Francisco based, Talent Network)",On site,Medicine,part-time,https://work.mercor.com/jobs/list_AAABmg-4qQcPC7gJSpNLYqH3,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,Finance operations / audit support Evaluator,Remote,Finance,hourly,https://work.mercor.com/jobs/list_AAABnp6RCQEqymdVMF5KeJAh,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
